"","db","query","order","family","genus"
"33","itis","Vanesa",NA,NA,NA
"34","itis","Avibrissina",NA,NA,NA
"35","itis","Argirophenga",NA,NA,NA
"36","itis","Peremptor",NA,NA,NA
"37","itis","Veluta","Diptera","Agromyzidae","Liriomyza"
"38","itis","Adoxia",NA,NA,NA
"39","itis","Apsonia",NA,NA,NA
"40","itis","Erythronychia",NA,NA,NA
"41","itis","Heteria","Isopoda","Janiridae","Heterias"
"42","itis","Occisor",NA,NA,NA
"43","itis","Pilinasica",NA,NA,NA
"44","itis","Procissio",NA,NA,NA
"45","itis","Proscissio",NA,NA,NA
"46","itis","Zealandotachina",NA,NA,NA
"47","itis","Argyrophenga",NA,NA,NA
"48","itis","Asilis",NA,NA,NA
"49","itis","Eudonia",NA,NA,NA
"50","itis","Eulalia",NA,NA,NA
"51","itis","Gracilicera",NA,NA,NA
"52","itis","Hoplocneme",NA,NA,NA
"53","itis","Lepidomyia","Diptera","Syrphidae","Lepidomyia"
"54","itis","Mallochomacquartia",NA,NA,NA
"55","itis","Medinella",NA,NA,NA
"56","itis","Neotachina",NA,NA,NA
"57","itis","Pasiphila","Lepidoptera","Geometridae","Pasiphila"
"58","itis","Protohystricia",NA,NA,NA
"59","itis","Rhopalomerus",NA,NA,"Rhopalomerus"
"60","itis","Zorion",NA,NA,NA
"61","itis","Appis",NA,NA,NA
"62","itis","Hybopygia",NA,NA,NA
"63","itis","Protohystirica",NA,NA,NA
"64","itis","Scoparia","Lamiales","Plantaginaceae","Scoparia"
"65","itis","Orocrambus",NA,NA,NA
"66","itis","Pales",NA,NA,NA
"67","itis","Rictonis",NA,NA,NA
"68","itis","Arthracanthus",NA,NA,NA
"69","itis","Chelaner",NA,NA,NA
"70","itis","Declana",NA,NA,NA
"71","itis","Eucymatoge",NA,NA,NA
"72","itis","Helastia",NA,NA,NA
"73","itis","Homodotis",NA,NA,NA
"74","itis","Hydriomena","Lepidoptera","Geometridae","Hydriomena"
"75","itis","Pareromene",NA,NA,NA
"76","itis","Philia",NA,NA,NA
"77","itis","Agrotis","Lepidoptera","Noctuidae","Agrotis"
"78","itis","Austrocidaria",NA,NA,NA
"79","itis","Bothrophora",NA,NA,NA
"80","itis","Calcager",NA,NA,NA
"81","itis","Campylia",NA,NA,NA
"82","itis","Ephiphyrne",NA,NA,NA
"83","itis","Epiphryne",NA,NA,NA
"84","itis","Evibrissa",NA,NA,NA
"85","itis","Gelechia","Hymenoptera","Braconidae","Bracon"
"86","itis","Graphania",NA,NA,NA
"87","itis","Ischalis",NA,NA,NA
"88","itis","Leucania","Lepidoptera","Noctuidae","Leucania"
"89","itis","Mecyna",NA,NA,NA
"90","itis","Musc",NA,NA,NA
"91","itis","Notoreas",NA,NA,NA
"92","itis","Oreocalus",NA,NA,NA
"93","itis","Perrissina",NA,NA,NA
"94","itis","Plagiomyia",NA,NA,NA
"95","itis","Proscission",NA,NA,NA
"96","itis","Pseudocoremia",NA,NA,NA
"97","itis","Pseudofoenus",NA,NA,NA
"98","itis","Pyronola",NA,NA,NA
"99","itis","Sawpogon",NA,NA,NA
"100","itis","Selenopalpus",NA,NA,NA
"101","itis","Sestra",NA,NA,NA
"102","itis","Dasyuris","Lepidoptera","Geometridae","Dasyuris"
"103","itis","Asaphodes",NA,NA,NA
"104","itis","Rygmodus",NA,NA,NA
"105","itis","Gelophaula",NA,NA,NA
"106","itis","Peristoreus",NA,NA,NA
"107","itis","Xenorhynchia",NA,NA,NA
"108","itis","Melipona","Hymenoptera","Apidae","Melipona"
"109","itis","Euglossa","Hymenoptera","Apidae","Euglossa"
"110","itis","Politmus",NA,NA,NA
"111","itis","Augochloropsis","Hymenoptera","Halictidae","Augochloropsis"
"112","itis","Cerciris",NA,NA,NA
"113","itis","Polybia",NA,NA,NA
"114","itis","Calicopis",NA,NA,NA
"115","itis","Augochlora","Hymenoptera","Halictidae","Augochlora"
"116","itis","Copestylum","Diptera","Syrphidae","Copestylum"
"117","itis","Dialictus",NA,NA,NA
"118","itis","Exomalopsis","Hymenoptera","Apidae","Exomalopsis"
"119","itis","Sphex","Hymenoptera","Sphecidae","Sphex"
"120","itis","Eulaema","Hymenoptera","Apidae","Eulaema"
"121","itis","Pachodynerus","Hymenoptera","Vespidae","Pachodynerus"
"122","itis","Panoquina","Lepidoptera","Hesperiidae","Panoquina"
"123","itis","Psedagochloropsis",NA,NA,NA
"124","itis","Brachygastra","Hymenoptera","Vespidae","Brachygastra"
"125","itis","Coereba","Passeriformes","Coerebidae","Coereba"
"126","itis","Cyclocephala","Coleoptera","Scarabaeidae","Cyclocephala"
"127","itis","Cylindromia",NA,NA,NA
"128","itis","Montezumia",NA,NA,NA
"129","itis","Oxybelus","Hymenoptera","Crabronidae","Oxybelus"
"130","itis","Pepsis",NA,NA,NA
"131","itis","Pereirapsis",NA,NA,NA
"132","itis","Pyrrhogige",NA,NA,NA
"133","itis","Sarcodexia","Diptera","Sarcophagidae","Sarcodexia"
"134","itis","Sticia",NA,NA,NA
"135","itis","Tachites",NA,NA,NA
"136","itis","Vehilius",NA,NA,NA
"137","itis","Zonotrichia","Passeriformes","Emberizidae","Zonotrichia"
"138","itis","Augochlorensis",NA,NA,NA
"139","itis","Auhochloropsis",NA,NA,NA
"140","itis","Palpada","Diptera","Syrphidae","Palpada"
"141","itis","Pereirapis","Hymenoptera","Halictidae","Pereirapis"
"142","itis","Pyrgus","Lepidoptera","Hesperiidae","Pyrgus"
"143","itis","Amazilia","Apodiformes","Trochilidae","Amazilia"
"144","itis","Athidium",NA,NA,NA
"145","itis","Helicobia","Diptera","Sarcophagidae","Helicobia"
"146","itis","Heliopetes","Lepidoptera","Hesperiidae","Heliopetes"
"147","itis","Oxyssarcodexia",NA,NA,NA
"148","itis","Anthidiellum","Hymenoptera","Megachilidae","Anthidiellum"
"149","itis","Chrysagria","Diptera","Sarcophagidae","Chrysagria"
"150","itis","Cogia","Lepidoptera","Hesperiidae","Cogia"
"151","itis","Euhibus",NA,NA,NA
"152","itis","Extemnius",NA,NA,NA
"153","itis","Junonia","Lepidoptera","Nymphalidae","Junonia"
"154","itis","Omicrom",NA,NA,NA
"155","itis","Pachodunerus",NA,NA,NA
"156","itis","Parancistrocerus",NA,NA,NA
"157","itis","Phaenica","Hymenoptera","Apidae","Anthophora"
"158","itis","Pompeius","Lepidoptera","Hesperiidae","Pompeius"
"159","itis","Sarcophagula","Diptera","Sarcophagidae","Sarcophagula"
"160","itis","Trigona","Hymenoptera","Apidae","Trigona"
"161","itis","Spallanzania","Diptera","Tachinidae","Spallanzania"
"162","itis","Oscinis",NA,NA,NA
"163","itis","Agapostemon","Hymenoptera","Halictidae","Agapostemon"
"164","itis","Anoplius","Hymenoptera","Pompilidae","Anoplius"
"165","itis","Anthocomus",NA,NA,NA
"166","itis","Scatopse","Diptera","Scatopsidae","Scatopse"
"167","itis","Tachytes","Hymenoptera","Crabronidae","Tachytes"
"168","itis","Urosigalphus",NA,NA,NA
"169","itis","Eumyotheria",NA,NA,NA
"170","itis","Euphorus",NA,NA,NA
"171","itis","Triepeolus","Hymenoptera","Apidae","Triepeolus"
"172","itis","Anthrenus","Coleoptera","Dermestidae","Anthrenus"
"173","itis","Ceropales",NA,NA,NA
"174","itis","Evylaeus",NA,NA,NA
"175","itis","Machaeris",NA,NA,NA
"176","itis","Corizus",NA,NA,NA
"177","itis","Gnathias",NA,NA,NA
"178","itis","Hyalurgus","Diptera","Tachinidae","Hyalurgus"
"179","itis","Microbracon",NA,NA,"Microbracon"
"180","itis","Scenopinus","Diptera","Scenopinidae","Scenopinus"
"181","itis","Phor",NA,NA,NA
"182","itis","Rhipiphorus",NA,NA,NA
"183","itis","Trachandrena",NA,NA,NA
"184","itis","Vipio",NA,NA,NA
"185","itis","Opandrena",NA,NA,NA
"186","itis","Sapyga",NA,NA,NA
"187","itis","Carceris",NA,NA,NA
"188","itis","Haltichella",NA,NA,NA
"189","itis","Xanthogramma","Diptera","Syrphidae","Xanthogramma"
"190","itis","Pachyophthalmus",NA,NA,NA
"191","itis","Chloralictus",NA,NA,NA
"192","itis","Sphecodium",NA,NA,NA
"193","itis","Parandrena",NA,NA,NA
"194","itis","Syntomopus","Anura",NA,"Atopophrynus"
"195","itis","Polysphincta",NA,NA,NA
"196","itis","Basilarchia",NA,NA,NA
"197","itis","Elis",NA,NA,NA
"198","itis","Typocerus","Coleoptera","Cerambycidae","Typocerus"
"199","itis","Pseudopanurgus","Hymenoptera","Andrenidae","Pseudopanurgus"
"200","itis","Saparnopolius",NA,NA,NA
"201","itis","Holcopasites","Hymenoptera","Apidae","Holcopasites"
"202","itis","Trineura",NA,NA,NA
"203","itis","Morellia","Diptera","Muscidae","Morellia"
"204","itis","Diceratosmia",NA,NA,NA
"205","itis","Melissodes","Hymenoptera","Apidae","Melissodes"
"206","itis","Notoglossa",NA,NA,"Notoglossa"
"207","itis","Euchistus",NA,NA,NA
"208","itis","Lampronota",NA,NA,NA
"209","itis","Odontalictus",NA,NA,NA
"210","itis","Prosopis","Fabales","Fabaceae","Prosopis"
"211","itis","Strangalia","Coleoptera","Cerambycidae","Strangalia"
"212","itis","Themira","Diptera","Sepsidae","Themira"
"213","itis","Hippelates","Diptera","Chloropidae","Hippelates"
"214","itis","Neotrypetes",NA,NA,NA
"215","itis","Anthemurgus",NA,NA,"Anthemurgus"
"216","itis","Ageniella",NA,NA,NA
"217","itis","Phorbia","Diptera","Anthomyiidae","Phorbia"
"218","itis","Chilosia",NA,NA,NA
"219","itis","Notozus",NA,NA,NA
"220","itis","Cemonus",NA,NA,"Cemonus"
"221","itis","Calocoris","Hemiptera","Miridae","Calocoris"
"222","itis","Siphonella","Diptera","Chloropidae","Siphonella"
"223","itis","Ashmeadiella","Hymenoptera","Megachilidae","Ashmeadiella"
"224","itis","Batizonus",NA,NA,NA
"225","itis","Acontia","Lepidoptera","Noctuidae","Acontia"
"226","itis","Blepharipeza",NA,NA,"Blepharipeza"
"227","itis","Holonomada",NA,NA,NA
"228","itis","Leionotus",NA,NA,"Leionotus"
"229","itis","Tryphon",NA,NA,NA
"230","itis","Culex","Diptera","Culicidae","Culex"
"231","itis","Frontina",NA,NA,NA
"232","itis","Hypostena",NA,NA,NA
"233","itis","Lispa",NA,NA,NA
"234","itis","Meromyza","Diptera","Chloropidae","Meromyza"
"235","itis","Ochthera","Diptera","Ephydridae","Ochthera"
"236","itis","Thecla",NA,NA,NA
"237","itis","Bracon","Hymenoptera","Braconidae","Bracon"
"238","itis","Centrinites","Coleoptera","Curculionidae","Centrinites"
"239","itis","Hemiteles",NA,NA,NA
"240","itis","Cynomyia",NA,NA,NA
"241","itis","Notogonidea",NA,NA,"Notogonidea"
"242","itis","Chlorion","Hymenoptera","Sphecidae","Chlorion"
"243","itis","Dacnusa","Hymenoptera","Braconidae","Dacnusa"
"244","itis","Gonia","Diptera","Tachinidae","Gonia"
"245","itis","Mesogramma",NA,NA,NA
"246","itis","Phyto","Diptera","Rhinophoridae","Phyto"
"247","itis","Photinus","Coleoptera","Lampyridae","Photinus"
"248","itis","Spilomyia","Diptera","Syrphidae","Spilomyia"
"249","itis","Limochores",NA,NA,"Limochores"
"250","itis","Nysson","Hymenoptera","Crabronidae","Nysson"
"251","itis","Xenoglossa","Hymenoptera","Apidae","Xenoglossa"
"252","itis","Ocyptera",NA,NA,NA
"253","itis","Anthrax","Diptera","Bombyliidae","Anthrax"
"254","itis","Ceratoma",NA,NA,NA
"255","itis","Pachyneuron",NA,NA,NA
"256","itis","Perilampus","Hymenoptera","Perilampidae","Perilampus"
"257","itis","Porizon","Hymenoptera","Formicidae","Aenictus"
"258","itis","Collops",NA,NA,NA
"259","itis","Poecilopompilus",NA,NA,NA
"260","itis","Hesperia","Lepidoptera","Hesperiidae","Hesperia"
"261","itis","Heterosarus",NA,NA,NA
"262","itis","Leucopis","Diptera","Chamaemyiidae","Leucopis"
"263","itis","Phytocoris","Hemiptera","Miridae","Phytocoris"
"264","itis","Pterandrena",NA,NA,NA
"265","itis","Smicra",NA,NA,NA
"266","itis","Euphoria","Coleoptera","Scarabaeidae","Euphoria"
"267","itis","Valgus","Coleoptera","Scarabaeidae","Valgus"
"268","itis","Alydus","Hemiptera","Alydidae","Alydus"
"269","itis","Hammomyia",NA,NA,NA
"270","itis","Linnaemyia",NA,NA,NA
"271","itis","Mydaea","Diptera","Muscidae","Mydaea"
"272","itis","Viviania",NA,NA,"Viviania"
"273","itis","Brachypalpus","Diptera","Syrphidae","Brachypalpus"
"274","itis","Elachiptera","Diptera","Chloropidae","Elachiptera"
"275","itis","Elasmus",NA,NA,NA
"276","itis","Perdita","Hymenoptera","Andrenidae","Perdita"
"277","itis","Acmaeodera","Coleoptera","Buprestidae","Acmaeodera"
"278","itis","Borborus",NA,NA,NA
"279","itis","Clytiomyia",NA,NA,NA
"280","itis","Hyptia","Hymenoptera","Evaniidae","Hyptia"
"281","itis","Teleas",NA,NA,NA
"282","itis","Bicyrtes","Hymenoptera","Crabronidae","Bicyrtes"
"283","itis","Corimelaena","Hemiptera","Thyreocoridae","Corimelaena"
"284","itis","Phyciodes","Lepidoptera","Nymphalidae","Phyciodes"
"285","itis","Plagiotoma",NA,NA,"Plagiotoma"
"286","itis","Sayapis",NA,NA,NA
"287","itis","Senotainia","Diptera","Sarcophagidae","Senotainia"
"288","itis","Alophora",NA,NA,"Alophora"
"289","itis","Curtisapis",NA,NA,NA
"290","itis","Florilegus","Hymenoptera","Apidae","Florilegus"
"291","itis","Pseudosiobla",NA,NA,NA
"292","itis","Bembix","Hymenoptera","Crabronidae","Bembix"
"293","itis","Phora","Diptera","Phoridae","Phora"
"294","itis","Tachina","Diptera","Tachinidae","Tachina"
"295","itis","Conops","Diptera","Conopidae","Conops"
"296","itis","Hister","Coleoptera","Histeridae","Hister"
"297","itis","Leucosmia",NA,NA,NA
"298","itis","Limneria",NA,NA,NA
"299","itis","Myospila","Diptera","Muscidae","Myospila"
"300","itis","Orgilus","Araneae","Gnaphosidae","Drassyllus"
"301","itis","Physocephala","Diptera","Conopidae","Physocephala"
"302","itis","Pontia","Lepidoptera","Pieridae","Pontia"
"303","itis","Limonius","Coleoptera","Elateridae","Limonius"
"304","itis","Pompiloides",NA,NA,NA
"305","itis","Protothyreopus",NA,NA,"Protothyreopus"
"306","itis","Sturmia",NA,NA,"Sturmia"
"307","itis","Thanaos",NA,NA,"Thanaos"
"308","itis","Xanthidium","Desmidiales","Desmidiaceae","Xanthidium"
"309","itis","Xanthomelana",NA,NA,"Xanthomelana"
"310","itis","Epicauta","Coleoptera","Meloidae","Epicauta"
"311","itis","Macrobasis",NA,NA,"Macrobasis"
"312","itis","Mallota","Diptera","Syrphidae","Mallota"
"313","itis","Anthedon",NA,NA,NA
"314","itis","Chrysis","Hymenoptera","Chrysididae","Chrysis"
"315","itis","Eugnamptus","Coleoptera","Attelabidae","Eugnamptus"
"316","itis","Pentaria","Coleoptera","Scraptiidae","Pentaria"
"317","itis","Achalarus","Lepidoptera","Hesperiidae","Achalarus"
"318","itis","Chelynia",NA,NA,NA
"319","itis","Eupsyche",NA,NA,NA
"320","itis","Eutrichosoma",NA,"Eutrichosomatidae",NA
"321","itis","Priocnemoides",NA,NA,NA
"322","itis","Ptilandrena",NA,NA,NA
"323","itis","Carneades",NA,NA,NA
"324","itis","Chlorops","Diptera","Chloropidae","Chlorops"
"325","itis","Diabrotica","Coleoptera","Chrysomelidae","Diabrotica"
"326","itis","Dolerus","Decapoda","Alpheidae","Alpheus"
"327","itis","Glypta",NA,NA,NA
"328","itis","Loxostege",NA,NA,NA
"329","itis","Microstelis",NA,NA,NA
"330","itis","Phorantha",NA,NA,"Phorantha"
"331","itis","Psammochares",NA,NA,NA
"332","itis","Stictiella","Hymenoptera","Crabronidae","Stictiella"
"333","itis","Stizus","Hymenoptera","Crabronidae","Stizus"
"334","itis","Trogus",NA,NA,NA
"335","itis","Alyson",NA,NA,NA
"336","itis","Chrysochlamys",NA,NA,NA
"337","itis","Drepanium",NA,NA,NA
"338","itis","Eucerceris","Hymenoptera","Crabronidae","Eucerceris"
"339","itis","Heminomada",NA,NA,NA
"340","itis","Hylotoma",NA,NA,NA
"341","itis","Pachymeria",NA,NA,NA
"342","itis","Sciara","Diptera","Sciaridae","Sciara"
"343","itis","Therioplectes",NA,NA,NA
"344","itis","Zendalia",NA,NA,NA
"345","itis","Acmaeops",NA,NA,NA
"346","itis","Agrothereutes",NA,NA,NA
"347","itis","Ancyloxypha","Lepidoptera","Hesperiidae","Ancyloxypha"
"348","itis","Archytas","Diptera","Tachinidae","Archytas"
"349","itis","Babia","Coleoptera","Chrysomelidae","Babia"
"350","itis","Brachycoma",NA,NA,NA
"351","itis","Chrystogaster",NA,NA,NA
"352","itis","Corticaria","Coleoptera","Latridiidae","Corticaria"
"353","itis","Exoprosopa","Diptera","Bombyliidae","Exoprosopa"
"354","itis","Leskia","Diptera","Tachinidae","Leskia"
"355","itis","Philampelus",NA,NA,NA
"356","itis","Pimpla",NA,NA,NA
"357","itis","Systoechus","Diptera","Bombyliidae","Systoechus"
"358","itis","Tetrachrysis",NA,NA,NA
"359","itis","Xestocrabro",NA,NA,"Xestocrabro"
"360","itis","Agromyza","Diptera","Agromyzidae","Agromyza"
"361","itis","Aldrichia","Diptera","Bombyliidae","Aldrichia"
"362","itis","Ammobia",NA,NA,"Ammobia"
"363","itis","Cryptorhopalum","Coleoptera","Dermestidae","Cryptorhopalum"
"364","itis","Epigrimyia","Diptera","Tachinidae","Epigrimyia"
"365","itis","Epimelissodes",NA,NA,NA
"366","itis","Heodes",NA,NA,NA
"367","itis","Hyalomyodes",NA,NA,"Hyalomyodes"
"368","itis","Lygaeus","Hemiptera","Lygaeidae","Lygaeus"
"369","itis","Panzeria","Diptera","Tachinidae","Panzeria"
"370","itis","Paradidyma","Diptera","Tachinidae","Paradidyma"
"371","itis","Priononyx",NA,NA,"Priononyx"
"372","itis","Robertsonomyia","Diptera","Conopidae","Robertsonomyia"
"373","itis","Xenoglossodes",NA,NA,NA
"374","itis","Agrilus","Coleoptera","Buprestidae","Agrilus"
"375","itis","Calliopsis","Hymenoptera","Andrenidae","Calliopsis"
"376","itis","Chrysocharis",NA,NA,NA
"377","itis","Cremastogaster",NA,NA,NA
"378","itis","Cyphopyga",NA,NA,NA
"379","itis","Distichona","Diptera","Tachinidae","Distichona"
"380","itis","Enoplium",NA,NA,NA
"381","itis","Epalpus","Diptera","Tachinidae","Epalpus"
"382","itis","Epurea",NA,NA,NA
"383","itis","Hedychrum",NA,NA,NA
"384","itis","Scepsis",NA,NA,NA
"385","itis","Batyle","Coleoptera","Cerambycidae","Batyle"
"386","itis","Bruchus","Coleoptera","Chrysomelidae","Bruchus"
"387","itis","Calythea","Diptera","Anthomyiidae","Calythea"
"388","itis","Ceria",NA,NA,NA
"389","itis","Cordylura",NA,NA,NA
"390","itis","Euptoieta","Lepidoptera","Nymphalidae","Euptoieta"
"391","itis","Metopius","Diptera","Stratiomyidae","Merosargus"
"392","itis","Planiceps",NA,NA,NA
"393","itis","Telephorus",NA,NA,NA
"394","itis","Carmenta",NA,NA,NA
"395","itis","Cemolobus","Hymenoptera","Apidae","Cemolobus"
"396","itis","Chelostomoides","Hymenoptera","Megachilidae","Megachile"
"397","itis","Clusia",NA,NA,NA
"398","itis","Crambus",NA,NA,NA
"399","itis","Euschistus","Hemiptera","Pentatomidae","Euschistus"
"400","itis","Harrisina",NA,NA,NA
"401","itis","Hoplisus",NA,NA,"Hoplisus"
"402","itis","Megilla",NA,NA,NA
"403","itis","Orphilus","Coleoptera","Dermestidae","Orphilus"
"404","itis","Padabrus",NA,NA,NA
"405","itis","Plusia","Lepidoptera","Noctuidae","Plusia"
"406","itis","Pseudagenia",NA,NA,NA
"407","itis","Zanysson","Hymenoptera","Crabronidae","Zanysson"
"408","itis","Callimorpha",NA,NA,NA
"409","itis","Chaerocampa",NA,NA,NA
"410","itis","Ditemnus","Coleoptera","Cantharidae","Silis"
"411","itis","Ellychnia","Coleoptera","Lampyridae","Ellychnia"
"412","itis","Exetastes",NA,NA,NA
"413","itis","Figites",NA,NA,NA
"414","itis","Hilarella","Diptera","Sarcophagidae","Hilarella"
"415","itis","Lophopompilus",NA,NA,NA
"416","itis","Luperaltica","Coleoptera","Chrysomelidae","Luperaltica"
"417","itis","Microplitis",NA,NA,NA
"418","itis","Nemotelus","Diptera","Stratiomyidae","Nemotelus"
"419","itis","Paralictus",NA,NA,NA
"420","itis","Protoparee",NA,NA,NA
"421","itis","Tetanocera","Diptera","Sciomyzidae","Tetanocera"
"422","itis","Bombomelecta",NA,NA,NA
"423","itis","Centrinus","Coleoptera","Curculionidae","Centrinus"
"424","itis","Clisodon",NA,NA,NA
"425","itis","Cyllene",NA,NA,"Cyllene"
"426","itis","Cyphocera",NA,NA,NA
"427","itis","Lindenius","Hymenoptera","Crabronidae","Lindenius"
"428","itis","Myodites",NA,NA,NA
"429","itis","Myrmosa",NA,NA,NA
"430","itis","Orthoneura",NA,NA,NA
"431","itis","Philanthus","Hymenoptera","Crabronidae","Philanthus"
"432","itis","Pholisora","Lepidoptera","Hesperiidae","Pholisora"
"433","itis","Trirhoptrasema",NA,NA,NA
"434","itis","Zodion","Diptera","Conopidae","Zodion"
"435","itis","Anosia","Lepidoptera","Nymphalidae","Danaus"
"436","itis","Biomyia",NA,NA,NA
"437","itis","Coriscus",NA,NA,"Coriscus"
"438","itis","Eucoila",NA,NA,NA
"439","itis","Gambrus",NA,NA,NA
"440","itis","Haltica",NA,NA,NA
"441","itis","Nathalis","Lepidoptera","Pieridae","Nathalis"
"442","itis","Peponapis","Hymenoptera","Apidae","Peponapis"
"443","itis","Phthiria","Diptera","Bombyliidae","Phthiria"
"444","itis","Phygadeuon","Hymenoptera","Ichneumonidae","Phygadeuon"
"445","itis","Trichophora",NA,NA,NA
"446","itis","Araba",NA,NA,NA
"447","itis","Callida",NA,NA,"Callida"
"448","itis","Ceratosmia",NA,NA,NA
"449","itis","Cercyonis","Lepidoptera","Nymphalidae","Cercyonis"
"450","itis","Chalcis",NA,NA,NA
"451","itis","Compsomyia",NA,NA,NA
"452","itis","Cremastus","Hymenoptera","Ichneumonidae","Cremastus"
"453","itis","Ennyomma",NA,NA,"Ennyomma"
"454","itis","Idiostethus","Coleoptera","Curculionidae","Idiostethus"
"455","itis","Iomelissa",NA,NA,NA
"456","itis","Lonchaea","Diptera","Lonchaeidae","Lonchaea"
"457","itis","Lyroda","Hymenoptera","Crabronidae","Lyroda"
"458","itis","Metoposarcophaga","Diptera","Sarcophagidae","Metoposarcophaga"
"459","itis","Midas",NA,NA,"Midas"
"460","itis","Myiolepta",NA,NA,NA
"461","itis","Ophion",NA,NA,NA
"462","itis","Podisus","Hemiptera","Pentatomidae","Podisus"
"463","itis","Polygonia","Lepidoptera","Nymphalidae","Polygonia"
"464","itis","Pseudoplisus",NA,NA,"Pseudoplisus"
"465","itis","Psysocephala",NA,NA,NA
"466","itis","Sciomyza","Diptera","Sciomyzidae","Sciomyza"
"467","itis","Seracosomus",NA,NA,NA
"468","itis","Siphoplagia",NA,NA,"Siphoplagia"
"469","itis","Sophropompilus",NA,NA,NA
"470","itis","Systogaster",NA,NA,NA
"471","itis","Thlipsogaster",NA,NA,NA
"472","itis","Thorybes","Lepidoptera","Hesperiidae","Thorybes"
"473","itis","Zethus",NA,NA,NA
"474","itis","Anacrabro","Hymenoptera","Crabronidae","Anacrabro"
"475","itis","Ancistrocerus",NA,NA,NA
"476","itis","Astatus",NA,NA,"Astatus"
"477","itis","Cryptocheilus",NA,NA,NA
"478","itis","Deilephila","Lepidoptera","Sphingidae","Deilephila"
"479","itis","Disonycha","Coleoptera","Chrysomelidae","Disonycha"
"480","itis","Drasteria",NA,NA,NA
"481","itis","Eutelus",NA,NA,NA
"482","itis","Gonochrysis",NA,NA,NA
"483","itis","Gymnochaeta",NA,NA,NA
"484","itis","Hylemyia",NA,NA,NA
"485","itis","Leucostoma","Diptera","Tachinidae","Leucostoma"
"486","itis","Lopidea","Hemiptera","Miridae","Lopidea"
"487","itis","Lygus","Hemiptera","Miridae","Lygus"
"488","itis","Ortholomus",NA,NA,NA
"489","itis","Trichopoda","Diptera","Tachinidae","Trichopoda"
"490","itis","Zaodontomerus",NA,NA,NA
"491","itis","Zaperdita",NA,NA,NA
"492","itis","Angitia","Lepidoptera","Erebidae","Deinopa"
"493","itis","Anthomyiella",NA,NA,NA
"494","itis","Bombias",NA,NA,NA
"495","itis","Charidryas",NA,NA,NA
"496","itis","Euthera","Diptera","Tachinidae","Euthera"
"497","itis","Feltia","Lepidoptera","Noctuidae","Feltia"
"498","itis","Leskiomima",NA,NA,"Leskiomima"
"499","itis","Lophocrabro",NA,NA,"Lophocrabro"
"500","itis","Mutilla",NA,NA,NA
"501","itis","Nothus",NA,NA,NA
"502","itis","Oligotropus",NA,NA,NA
"503","itis","Oxystoglossa",NA,NA,NA
"504","itis","Pamphila",NA,NA,"Pamphila"
"505","itis","Phoramia",NA,NA,NA
"506","itis","Pollenia","Diptera","Calliphoridae","Pollenia"
"507","itis","Psen","Hymenoptera","Crabronidae","Psen"
"508","itis","Pseudomethoca",NA,NA,NA
"509","itis","Scotiptera",NA,NA,NA
"510","itis","Stratiomyia",NA,NA,NA
"511","itis","Strymon","Lepidoptera","Lycaenidae","Strymon"
"512","itis","Teuchocnemis","Diptera","Syrphidae","Teuchocnemis"
"513","itis","Trypeta",NA,NA,NA
"514","itis","Agriotes","Coleoptera","Elateridae","Agriotes"
"515","itis","Argynnis","Chiroptera","Pteropodidae","Casinycteris"
"516","itis","Belvosia","Diptera","Tachinidae","Belvosia"
"517","itis","Canthophorus",NA,NA,"Canthophorus"
